,0
159,Alisiardi
160,Ciocca
161,Reguero
162,Gargaglione
163,Tarateta
164,Braceras
165,Sturzenegger
166,Collareda
167,Fresinga
168,Americo
169,Lobillo
170,Salmeron
171,Bertotti
172,Casiva
173,Aguet
174,Ribone
175,Aramendi
176,Cafiel
177,Berriel
178,Pusiol
179,Magaro
180,Carminati
181,Santandrea
182,Iannaccio
183,Cogliolo
184,Thomann
185,Dosanto
186,Huaquipa
187,Minchaca
188,Horta
189,Zochi
190,Atuica
191,Andaluz
192,Riveras
193,Caride
194,Raspa
195,Adamo
196,Sottile
197,Belbey
198,Toretta
199,Muscolini
200,Lorenzale
201,Arado
202,Hirino
203,Cortondo
204,Contrafatto
205,Mandri
206,Scaglia
207,Mandirola
208,Pisarello
209,Penafort
210,Ortuzar
211,Didier
212,Kreter
213,Cleary
214,Said
215,Cavolo
216,Obes
217,Giannotti
218,Morali
219,Restagno
220,Camisasso
221,Villecco
222,Guzardo
223,Sierpe
224,Herbon
225,Parasole
226,Misericordia
227,Trimboli
228,Albarrasin
229,Carrigal
230,Etchebarne
231,Lynn
232,Mill
233,Tacuman
234,Marchan
235,Orquera
236,Bertani
237,Mascotena
238,Preis
239,Malgarini
240,Caliani
241,Chima
242,Pericoli
243,Agostini
244,Soarez
245,Notta
246,Olsina
247,Flach
248,Bernis
249,Caperon
250,Meyreles
251,Yzaguirre
252,Appugliese
253,Nusch
254,Chropot
255,Besio
256,Vaira
257,Marzilli
258,Milia
259,Huayquifil
260,Papagno
261,Gavet
262,Vittone
263,Albarez
264,Pasarin
265,Trinidad
266,Martinoli
267,Zerbo
268,Lattanzio
269,Cimorelli
270,Feck
271,Guarino
272,Scherer
273,Montel
274,Pessino
275,Maggiori
276,Artigue
277,Pignatta
278,Saporittis
279,Fiumara
280,Sanita
281,Ciarla
282,Gastearena
283,Bersano
284,Sarboraria
285,Iribas
286,Briche
287,Mariezcurrena
288,Granizo
289,Arbeleche
290,Meineri
291,Prandini
292,Ciraudo
293,Tronelli
294,Versalli
295,Rosel
296,Gamietea
297,Prunesti
298,Bratz
299,Benavente
300,Bellver
301,Laurente
302,Devereux
303,Maliandi
304,Trunzo
305,Vajinay
306,Stange
307,Coliman
308,Gnecco
309,Weirich
310,Nunes
311,Cardellini
312,Magrini
313,Moral
314,Godi
315,Viqueira
316,Feliz
317,Cunarro
318,Colaianni
319,Lagrave
320,Suez
321,Pompeo
322,Antonucci
323,Castelan
324,Llarull
325,Chiodini
326,Hoffer
327,Vicentin
328,Mantegazza
329,Jirsa
330,Letourneau
331,Reist
332,Manduci
333,Mazuy
334,Castano
335,Recchimuzzi
336,Friedt
337,Agnello
338,Lanfranco
339,Tamanaha
340,Faust
341,Sadrinas
342,Sabino
343,Wilvers
344,Polero
345,Di dino
346,Zerbonia
347,Porzio
348,Laspiur
349,Anzuategui
350,Zuloaga
351,Bruera
352,Agreda
353,Lisera
354,Inzaurraga
355,Basini
356,Tecco
357,Heppner
358,Tricoli
359,Rogina
360,Dalmacio
361,Carceo
362,Gramajo
363,Campo
364,Filak
365,Armenti
366,Barrale
367,Jeske
368,Sgrazzutti
369,Reveco
370,Chiusaroli
371,Allemma
372,Chirigliano
373,Casilla
374,Parache
375,Jandar
376,Archilla
377,Robert
378,Intrieri
379,Artinano
380,Mioni
381,Converti
382,Delena
383,Allegra
384,Coman
385,Escariz
386,Puis
387,Mandaglio
388,Areco
389,Sita
390,Pinilla
391,Casaretto
392,Pinelli
393,Paillalafquen
394,Miyno
395,Arnulphi
396,Saganiaz
397,Senarega
398,Novik
399,Ardans
400,Huichacura
401,Boguslawski
402,De carolis
403,Uturbey
404,Rugora
405,Barcos
406,Unrein
407,Ribas
408,Ingram
409,Harkes
410,Billalva
411,Labaque
412,Apis
413,Mendonca
414,Fedrigo
415,Krivocapich
416,Balestriere
417,Mousist
418,Silke
419,Isaguirre
420,Jordana
421,Stettler
422,Healy
423,Albiso
424,Bellocq
425,Filoni
426,Lesta
427,Lamagni
428,Lozzia
429,Depieri
430,Romaldi
431,Agarie
432,Taivo
433,Borghetti
434,Caiati
435,Ruedas
436,Caprarulo
437,Scagliarini
438,Appolonia
439,Paci
440,Conidi
441,Bunge
442,Pinat
443,Villosio
444,Melli
445,Yelpo
446,Weisz
447,Lardelli
448,Yacopini
449,Imbriaco
450,Vereda
451,Reding
452,Gattari
453,Allegrini
454,Finochietto
455,Cichini
456,Desconsi
457,Boffelli
458,Huviller
459,Gardella
460,Knuttsen
461,Baquer
462,Tafran
463,Grin
464,Amicelli
465,De inocentis
466,Pulleiro
467,Brescacin
468,Iuale
469,Tamame
470,Estalles
471,Huentecoy
472,Cardinal
473,Hilt
474,Ambros
475,Berni
476,Ceol
477,Pietrelli
478,Mellao
479,Gaggio
480,Buchini
481,Renfiges
482,Tejia
483,Mena
484,Morano
485,Narbais
486,Dufour
487,Culla
488,Collard
489,Nascimbene
490,Passoni
491,Silveira
492,Ferrofino
493,Novarino
494,Ilincheta
495,Bastiani
496,Doddi
497,Maril
498,Grandez
499,Scarcella
500,Dragoni
501,Giovannone
502,Litke
503,Pieretti
504,Rodicio
505,Kessy
506,Ciccimarra
507,Langlemey
508,Alberione
509,Ayejes
510,Dibiasi
511,Grimalt
512,Ardaist
513,Salde
514,Paolini
515,Bothner
516,Potenza
517,Narciande
518,Griva
519,Cayutur
520,Grandoli
521,Recofsky
522,Nacher
523,Moussegne
524,Cabandie
525,Tureuna
526,Brandell
527,Olaverry
528,Tribino
529,Montesanto
530,Scardulla
531,Stafforini
532,Mascanfroni
533,Canaletti
534,Casucelli
535,Arauco
536,Bibiano
537,Palaversich
538,Dadone
539,Liparoti
540,Gregoris
541,Arcando
542,Grimaldi
543,Rabitti
544,Bolanez
545,Marderwald
546,Boglioli
547,Palaia
548,Paniagua
549,Arnaudo
550,Napoleone
551,Akiyama
552,Dedich
553,Guimenez
554,Buchi
555,Tropeano
556,Caltabiano
557,Charpentier
558,Ziegler
559,La biunda
560,Sisro
561,Lodos
562,Blesio
563,Forconesi
564,Crivari
565,Rotchen
566,Beraudo
567,Gelvez
568,Maly
569,Malvar
570,Sciretta
571,Trabazzo
572,Rayo
573,Nissero
574,Peche
575,Diago
576,Musto
577,Canezza
578,Quarenta
579,Coronio
580,Traversa
581,Bergessio
582,Fevola
583,Espinazo
584,Fanaro
585,Tosoni
586,Bestoso
587,Giovanniello
588,Sojo
589,Zaccone
590,Delrio
591,Bigon
592,Rampulla
593,Valls
594,Caporizzo
595,Caudevila
596,Lirio
597,Saccomandi
598,Cortona
599,Queiro
600,Quensell
601,Simian
602,Kuznik
603,Cecaro
604,Leibold
605,Escandarani
606,Fragola
607,Dallegri
608,Bril
609,Chidichimo
610,Palomeque
611,Fay
612,Galdos
613,Guardiola
614,Carmody
615,Connell
616,Cochere
617,Nahuelanca
618,Brianza
619,Danielli
620,Dorsa
621,Merelas
622,Gagnolo
623,Anzorena
624,Borrone
625,Sufia
626,Micle
627,Agusto
628,Simaldone
629,Zurdo
630,Praino
631,Ebbens
632,Climente
633,Lodi
634,Denuncio
635,Marchand
636,De cesari
637,Solioz
638,Chupitea
639,Sauma
640,Savelli
641,Abecasis
642,Sauvanet
643,Renno
644,Balderrama
645,Blumenfeld
646,Lupardo
647,Nicoloff
648,Rebagliati
649,Angeles
650,Arcaya
651,Pillaca
652,Olle
653,Bauco
654,Chavarry
655,Caielli
656,Pascualon
657,Vigil
658,Mataloni
659,Fontanillo
660,Stekler
661,Pissarello
662,Chersich
663,Scott
664,Savi
665,Kostiuk
666,Obetko
667,Candela
668,Boggon
669,Scalzone
670,Caprodossi
671,Franzotti
672,Paachi
673,Veira
674,Ruella
675,Montoro
676,Battistessa
677,Hermoza
678,Germinario
679,Damasco
680,Profumo
681,Berneri
682,Madrid
683,Di clemente
684,Quintin
685,Bellingeri
686,Virginilo
687,Raffault
688,Pomba
689,Pecorari
690,Spizzo
691,Marinich
692,Ledri
693,Spelzini
694,Stumpfs
695,Sciuto
696,Elia
697,Bentaberry
698,Robbiano
699,Solimo
700,Zelayeta
701,Sueyro
702,Patrizzi
703,Bonicatto
704,Baraldi
705,Melendo
706,Arp
707,Fioretti
708,Bordagaray
709,Deganis
710,Biedma
711,Curtis
712,Mazzariello
713,Page
714,Beiro
715,Colombo
716,Petillo
717,Villazanti
718,Scalzotto
719,Lascar
720,Bonancea
721,Bahia
722,Pauletich
723,Begunza
724,Choquellampa
725,Di pinto
726,Buczek
727,Hanono
728,Arbolera
729,Murador
730,Jaureguy
731,Segade
732,Lanciotti
733,Natera
734,Bengoechea
735,Bender
736,Dupouy
737,Carimoney
738,Couget
739,Cugat
740,Branzuel
741,Ruidia
742,Pascariello
743,Harlein
744,Bizarro
745,Jara
746,Fumero
747,Cazzuchelli
748,Zaccara
749,Inigo
750,Amigone
751,Liebl
752,Danloy
753,Cardelle
754,Chiri
755,Sislo
756,Vignetta
757,Dellarosa
758,Karqui
759,Cerrula
760,Cocomazzi
761,Beguiristain
762,Di scala
763,Cayuela
764,Vallory
765,Braverman
766,Alles
767,Duje
768,Castagnani
769,Petagna
770,Eusebi
771,Compagnucci
772,Pasquariello
773,Carrapizo
774,Stuto
775,Melogno
776,Larguia
777,Maher
778,Pace
779,Celoria
780,Stuppia
781,Bruffal
782,Sciara
783,Nadalich
784,Tabarelli
785,Tonietti
786,Oppenheimer
787,Espamer
788,Chaponan
789,Beneventano
790,Giunchiglia
791,Subieta
792,Vecino
793,Tassile
794,Orieta
795,Jabit
796,Puqui
797,Mantaras
798,Mondel
799,Viollaz
800,Wenz
801,Sobico
802,Bonfranceschi
803,Cahuimpan
804,Bielsa
805,Triador
806,Bottiroli
807,Gandazulio
808,Aschemager
809,Ludovico
810,Bianco
811,Battistini
812,Tauz
813,Gervasoni
814,Moner
815,Infesta
816,Ruth
817,Becci
818,Mazzuquini
819,Zimmerman
820,Ehijos
821,Valensuela
822,Fes
823,Bentancourt
824,Andujar
825,Machello
826,Peressutti
827,Ana
828,Hilgemberg
829,Da roza
830,Verdun
831,Diris
832,Vildosola
833,Nahuelquir
834,Fazioli
835,Cudini
836,Villota
837,Nemina
838,Grimaldes
839,Guercio
840,Leroux
841,Statello
842,Anzor
843,Pacheco
844,Gattolin
845,Cirigliano
846,Farret
847,Loggia
848,D' adamo
849,Piccinin
850,Mancedo
851,Travesani
852,Tutti
853,Pascualini
854,Lioy
855,Troiani
856,Pizzorno
857,Chale
858,Depierre
859,Isla
860,Villablanca
861,Alcorta
862,Amorini
863,Kinter
864,Dossena
865,Rosendo
866,Argutti
867,Poque
868,Piucol
869,Sabas
870,Majorana
871,Gesuelli
872,Sohn
873,Wethers
874,Sonego
875,Desandi
876,Casinelli
877,Cucchiarelli
878,Pranzoni
879,Wierna
880,Sensini
881,Casarosa
882,Astudillo
883,Depaolo
884,Batistuta
885,Silvano
886,Rebak
887,Purgat
888,Loscar
889,Braunstein
890,Kubiszyn
891,Crocci
892,Toracchio
893,Roche
894,Cazzola
895,Kachner
896,Soae
897,Quadro
898,Pastor
899,Sarandon
900,Arnoldt
901,Vittor
902,Guindon
903,Centineo
904,Dunn
905,Revelli
906,Maguire
907,Pablos
908,Bugliolo
909,Talamo
910,Treuquil
911,Soaje
912,Cameriere
913,Chenlo
914,Capelari
915,Toribio
916,Bartucci
917,Iturriza
918,Naumann
919,Risoli
920,Sanna
921,Mayan
922,Rosati
923,Crinigan
924,Ottogalli
925,Ayres
926,Eulloque
927,Delbono
928,Welsch
929,Barberon
930,Piotroski
931,Priano
932,Nuccitelli
933,Ausilio
934,Plazaola
935,Muruaga
936,Farran
937,Boiero
938,Pro
939,Celador
940,Isaias
941,Tourret
942,Carrosso
943,Sbarbati
944,Reeb
945,Violini
946,Artes
947,Chacho
948,Polidoro
949,Benaches
950,Lupari
951,Mignone
952,Ferragut
953,Lamonega
954,Etcheberry
955,Tarasiuk
956,Garau
957,Payero
958,Taja
959,Braccini
960,Mecozzi
961,Orqueida
962,Battagliese
963,Naselli
964,Dulac
965,Zarife
966,Francisconi
967,Albaitero
968,Ybalo
969,Simondet
970,Di criscio
971,Chanapi
972,Orbach
973,Perticara
974,Angileri
975,Brane
976,Busnelli
977,Ramajo
978,Fruhwald
979,Esmoris
980,Antipan
981,Yarossi
982,Francou
983,Pancho
984,Basallo
985,Fulgenzi
986,Gesualdo
987,Bereilh
988,Dukart
989,Bonnat
990,Sura
991,Scarafoni
992,Olexen
993,Bestani
994,Nevada
995,Guerrieri
996,Seeling
997,Iaria
998,Menghini
999,Strubia
1000,Dussin
1001,Cancelliere
1002,Jover
1003,Baistrocchi
1004,Zazu
1005,Maranges
1006,Millenaar
1007,Tundidor
1008,Mauas
1009,Dadante
1010,Gottfridt
1011,Alberini
1012,Darrichon
1013,Cuetos
1014,Ruber
1015,Faggiano
1016,Ruppen
1017,Vidable
1018,Furnus
1019,Zuk
1020,Spizzirri
1021,Chiappetta
1022,Del olmo
1023,Carrique
1024,Benicelli
1025,Tobarez
1026,Bianchi
1027,Odorisio
1028,Busso
1029,Yubrin
1030,Kunrath
1031,Tajomisski
1032,Nino
1033,Avinceta
1034,Bizzanelli
1035,Micino
1036,Aibar
1037,Primitivo
1038,Angelis
1039,Mascia
1040,Vidolin
1041,Meson
1042,Cortell
1043,Spraggon
1044,Cukierman
1045,Grijalba
1046,Casarotto
1047,Daponte
1048,Kittler
1049,Giardinieri
1050,Mohamad
1051,Perette
1052,Cardella
1053,Piedimonte
1054,Azulay
1055,Rufer
1056,Tejada
1057,Noro
1058,Elizari
1059,Calzetta
1060,Niklison
1061,Escauriza
1062,Silcan
1063,Petel
1064,Deroy
1065,Cagnin
1066,Tiburzi
1067,Secone
1068,Monge
1069,Huyema
1070,Alderette
1071,Buron
1072,Casalegno
1073,Bareiro
1074,Burki
1075,Frola
1076,Bereciartu
1077,Chmea
1078,Ansberck
1079,Stamens
1080,Bojanich
1081,Ostapovich
1082,Serain
1083,Michaux
1084,Cocio
1085,Low
1086,Sappietro
1087,Belmont
1088,Marker
1089,Agostinucci
1090,Caccamo
1091,Wereyko
1092,Alesci
1093,Halberstadt
1094,Monteros
1095,Zamudio
1096,Trillo
1097,Becce
1098,Bombini
1099,Cotellessa
1100,Foppoli
1101,Brusco
1102,Kollrich
1103,Celestino
1104,Crevatin
1105,Caris
1106,Clivio
1107,Tefaha
1108,Cigarreta
1109,Hornos
1110,Dazzi
1111,Woelke
1112,Picat
1113,Ainsimburo
1114,Burnengo
1115,Dobla
1116,Oriani
1117,Reybet
1118,Mondo
1119,Palas
1120,Winkel
1121,Meja
1122,Holst
1123,Signorelli
1124,Sampor
1125,Baro
1126,Urbisaglia
1127,Pagliari
1128,Moroni
1129,Lenzi
1130,Fulcheri
1131,Rabainera
1132,Laste
1133,Lardapide
1134,Sassi
1135,Soulas
1136,Fileni
1137,Pezo
1138,Bataglia
1139,Gorvalan
1140,Denapole
1141,Osudar
1142,Montauti
1143,Durany
1144,Nudel
1145,Arduh
1146,Samora
1147,Villamor
1148,Aracri
1149,Macayo
1150,Reschke
1151,Azpeitia
1152,Gilli
1153,Stampanoni
1154,Piraino
1155,Fischbach
1156,Balda
1157,Loretti
1158,Perciante
1159,Pachas
1160,Bezier
1161,Esquiu
1162,Bertuzzi
1163,Garcetti
1164,Yossen
1165,Verardi
1166,Sabedra
1167,Sabaren
1168,Malek
1169,Mezzamico
1170,Vicezar
1171,Davi
1172,Colombier
1173,Babbini
1174,Vescovo
1175,Lamarquez
1176,De yong
1177,Leureyro
1178,Attadia
1179,Carraud
1180,Berdaguez
1181,Joyas
1182,Pollak
1183,Aranguren
1184,Andes
1185,Ilarregui
1186,Berlingieri
1187,Zagari
1188,Terrein
1189,Verolo
1190,Rener
1191,Pieruzzini
1192,Cappri
1193,Garea
1194,Carinanco
1195,Stroppa
1196,Abeleyra
1197,Otta
1198,Canas
1199,Cavina
1200,Rosasco
1201,Barresi
1202,Fogolini
1203,Michelin
1204,Houtre
1205,Bonano
1206,Cuttica
1207,Poncela
1208,Castrege
1209,Retaco
1210,Iedro
1211,Benitez
1212,Costamagno
1213,Busada
1214,Lardone
1215,Schwartzman
1216,Zermatten
1217,Sarome
1218,Bontorno
1219,Chilaca
1220,Fondati
1221,Faber
1222,Zavalia
1223,Yarte
1224,Beleizan
1225,De giorgi
1226,Claros
1227,De barbieri
1228,Kroch
1229,Coutinho
1230,Moriena
1231,Ribeiro
1232,Aldorino
1233,Scioli
1234,Rigazzio
1235,Brichetto
1236,Gardoni
1237,Chiffel
1238,Ferriol
1239,Cacace
1240,Lazzeri
1241,Guerricabeitia
1242,Olivares
1243,Anito
1244,Soldo
1245,Schulmaister
1246,Arrivillaga
1247,Savino
1248,Reynares
1249,Petoyan
1250,Schelling
1251,Seisas
1252,Yuliano
1253,Dusso
1254,Firmani
1255,Azas
1256,Anitori
1257,Lofblad
1258,Cupolo
1259,Lizarzuay
1260,Conforte
1261,Arbach
1262,Zabytko
1263,Canumir
1264,Girazoles
1265,Giannarelli
1266,Viacava
1267,Petelin
1268,Maieru
1269,Boscacci
1270,Sorzini
1271,Di gioia
1272,Aguero
1273,Epstein
1274,Geoffroy
1275,Cocordano
1276,Accogli
1277,Iuzzolino
1278,Lajnocoyi
1279,Assandro
1280,Manchi
1281,Castosa
1282,Kosiak
1283,Arnaudin
1284,Iwanczuk
1285,Payeras
1286,Cardoso
1287,Drost
1288,Dalarda
1289,Camposano
1290,Laorca
1291,Harguindeguy
1292,Mangarela
1293,Corapi
1294,Liegl
1295,Arbasetti
1296,Smart
1297,Imperiale
1298,Orue
1299,Bicondoa
1300,Padron
1301,Piovani
1302,Saltape
1303,Manque
1304,Bulla
1305,Prino
1306,Vanoli
1307,Picotto
1308,Troglio
1309,Persson
1310,Cannizzaro
1311,Lombardozzi
1312,Sobrado
1313,Naddeo
1314,Kordich
1315,Babini
1316,Crovo
1317,Urriaga
1318,Tate
1319,Calcabrini
1320,Da veiga
1321,Palau
1322,Seiler
1323,Rapalini
1324,Maures
1325,Holz
1326,Vispo
1327,Cicerone
1328,Reissing
1329,Klein
1330,Spinelli
1331,Blanquer
1332,Alvarengo
1333,Sicot
1334,Dioses
1335,Yerien
1336,Llopart
1337,Orabona
1338,Jancko
1339,Amici
1340,Kammerer
1341,Catalogna
1342,Cambra
1343,Leccese
1344,Bertacchini
1345,Cipriano
1346,Parrondo
1347,Sarmentero
1348,Mostaccio
1349,Caseiro
1350,Cantone
1351,Tejeda
1352,Maiolino
1353,Adinolfi
1354,La rosa
1355,Ciarrochi
1356,Iamarino
1357,Painenao
1358,Tisnes
1359,Di grazia
1360,Rouillet
1361,Etchegoyen
1362,Vescovi
1363,Kalbermatten
1364,Ancarani
1365,Lanosa
1366,Carrocera
1367,Boattini
1368,Pedroski
1369,Conejeros
1370,Garayo
1371,Hung
1372,Casabe
1373,Ures
1374,De nobrega
1375,Porfiri
1376,Miteff
1377,Pascoli
1378,Hinga
1379,Del fresno
1380,Cuella
1381,Recaman
1382,Avanzini
1383,Prill
1384,Katzman
1385,Viglianchino
1386,Rossomando
1387,Algarilla
1388,Sivel
1389,Burgener
1390,Giangrasso
1391,Bolo
1392,Paysse
1393,Sincovich
1394,Paco
1395,Panizo
1396,Nitti
1397,Garrocho
1398,Balcon
1399,Figueron
1400,Melatini
1401,Fossat
1402,Corredera
1403,Terenzio
1404,Tejo
1405,Chicchi
1406,Veit
1407,Annovelli
1408,Nazzetta
1409,Aigo
1410,Louge
1411,Gottig
1412,Tella
1413,Auricchio
1414,Palencia
1415,Bolasina
1416,Costas
1417,Schifini
1418,Furco
1419,Trisciuzzi
1420,Caputto
1421,Betancour
1422,Max
1423,Ferrucci
1424,Longarzo
1425,Marrocco
1426,Viteritti
1427,Caravaglio
1428,Oholeguy
1429,Camerlo
1430,Ejarque
1431,Auciello
1432,Micciche
1433,Saria
1434,Pipola
1435,Cicardi
1436,Solitario
1437,Radosta
1438,Petrino
1439,Saravia
1440,Spavioli
1441,Villasanti
1442,Rocino
1443,Da gama
1444,Monke
1445,Camurri
1446,Amherd
1447,Luzco
1448,Sannazzaro
1449,Ordoqui
1450,De apellaniz
1451,Checchia
1452,Deglise
1453,Bartel
1454,Andelique
1455,Balo
1456,Ametrano
1457,Iporre
1458,Pelassa
1459,Giandomenico
1460,Lacalle
1461,Masso
1462,Guitart
1463,Sabil
1464,Ava
1465,Cernuda
1466,Echalar
1467,Barretto
1468,Saldivar
1469,De martini
1470,Perugini
1471,Burgoa
1472,Biott
1473,Almandos
1474,Palena
1475,Del pazo
1476,Raymundi
1477,Mantello
1478,Harrison
1479,Taillant
1480,Cristansich
1481,Chapartegui
1482,Sabando
1483,Hackbartt
1484,Goncalves
1485,De maria
1486,Scelatto
1487,Timoteo
1488,Nanni
1489,Joya
1490,Lorenti
1491,Sadobe
1492,Fabra
1493,Nogueda
1494,Pros
1495,Kerner
1496,Bondino
1497,De bartolo
1498,Capriz
1499,Unac
1500,Calvete
1501,Ritchie
1502,Lessio
1503,Unchalo
1504,Basse
1505,Gadaleta
1506,Errecoundo
1507,Andrada
1508,Senorano
1509,Bazalar
1510,Bujanda
1511,Carreno
1512,Oietto
1513,Riofrio
1514,Herr
1515,Rebolloso
1516,Barnola
1517,Di cristofaro
1518,Cormillot
1519,Calderaro
1520,Morandin
1521,Posleman
1522,Manzara
1523,Zanlungo
1524,Timm
1525,Monteverde
1526,Finamore
1527,Iza
1528,Papasodaro
1529,Roulin
1530,Malfatti
1531,Jardin
1532,Gorrachategui
1533,Ruas
1534,Leiro
1535,Werle
1536,Del rabal
1537,Muhn
1538,Jaime
1539,Del pelo
1540,Meirino
1541,Loliscio
1542,Garfunkel
1543,Danessa
1544,Mendilaharzu
1545,Varejao
1546,Ravagnani
1547,Lettiere
1548,Guede
1549,Berna
1550,Gallese
1551,Pokorny
1552,Piedade
1553,Montanana
1554,Managua
1555,Cadelli
1556,Ceballos
1557,Berdun
1558,Malissia
1559,Morandeira
1560,Bustingorria
1561,Nazario
1562,Perlender
1563,Bolognini
1564,Urciuoli
1565,Boix
1566,Medaura
1567,Scarlatta
1568,Sitjar
1569,Bramardo
1570,Gaffuri
1571,Bajinay
1572,Alvarin
1573,Bodano
1574,Rossini
1575,Lotumolo
1576,Volonte
1577,Todesco
1578,Delucchi
1579,Longas
1580,Litwin
1581,Russmann
1582,Suden
1583,Prudhomme
1584,Montalvan
1585,Cardini
1586,Engert
1587,Jarque
1588,Callapa
1589,Maillard
1590,Jans
1591,Boldini
1592,Cuchero
1593,Bocalon
1594,Panis
1595,Gattino
1596,Magini
1597,Sabathier
1598,Navamuel
1599,Veloz
1600,De franchi
1601,Roqueblave
1602,Guastavino
1603,Prozapas
1604,Reggiani
1605,Galdamez
1606,Saldarriaga
1607,Vomero
1608,Viana
1609,Cicciarelli
1610,Viescas
1611,Cimino
1612,Esquiroz
1613,Grandoso
1614,Donati
1615,Biggeri
1616,Butarelli
1617,Vultaggio
1618,Delledonne
1619,Alanoca
1620,Albe
1621,Carossino
1622,Cretton
1623,Scoleri
1624,Schuartz
1625,Delinski
1626,Codorniu
1627,Chauderon
1628,Tais
1629,Ordenes
1630,Antun
1631,Ramocini
1632,Macchiaroli
1633,Parisotti
1634,Pacchioni
1635,Andulce
1636,Caroni
1637,Callone
1638,Santoleri
1639,Bua
1640,Formini
1641,Briuschi
1642,Bottcher
1643,Manzanares
1644,Charro
1645,Civico
1646,Sarlo
1647,De biazi
1648,Son
1649,Pessina
1650,Schillaci
1651,De ieso
1652,Hospitaleche
1653,Oris
1654,Morkel
1655,Soraiz
1656,Kopach
1657,Secaff
1658,Scurato
1659,Luz
1660,Dobboletta
1661,Vercelli
1662,Coene
1663,Rizzardi
1664,Clavario
1665,Roussineau
1666,Marianelli
1667,Marotta
1668,Rizza
1669,Pallaoro
1670,Oriolo
1671,Mandatori
1672,Feder
1673,Boidi
1674,Campasso
1675,Blazquez
1676,Mentesana
1677,Argoitia
1678,Bogue
1679,Schulze
1680,Letcher
1681,Chevalley
1682,Bastos
1683,Inarra
1684,De abelleyra
1685,Schiewe
1686,Pedo
1687,Manquez
1688,Riopedre
1689,Bonavera
1690,Rondano
1691,Spatafore
1692,Adamoli
1693,Mandrille
1694,Dortona
1695,Mancuso
1696,Modon
1697,Vigliecca
1698,Guggisberg
1699,Carrupan
1700,Galaretto
1701,Fosco
1702,Molloy
1703,Folonier
1704,Caravetta
1705,Giuliante
1706,Llover
1707,Dell'oca
1708,Dell'arciprete
1709,Galay
1710,Settimo
1711,Nolli
1712,Torrecilla
1713,Batallan
1714,Germino
1715,Gazzia
1716,Santome
1717,Pizzuti
1718,Feltri
1719,Trilla
1720,Denhoff
1721,Kramer
1722,Carabelli
1723,Cerletti
1724,Dadea
1725,Aparicio
1726,Levinton
1727,Andriani
1728,Hoppe
1729,Matalon
1730,Pavlovsky
1731,Broggi
1732,Garralda
1733,Palavesino
1734,Angini
1735,Torelli
1736,Servian
1737,Alifano
1738,Riccillo
1739,Tegaldo
1740,Tornese
1741,Jugo
1742,De la hera
1743,Sesmilo
1744,Koz
1745,Asevedo
1746,Baroncini
1747,Vais
1748,Clark
1749,Pupo
1750,Rizzi
1751,Ventresca
1752,Luppo
1753,Hakim
1754,Sammito
1755,Di cecco
1756,Valestra
1757,Piovera
1758,Evangelisti
1759,Piceda
1760,Manarin
1761,Schiaroli
1762,Zerrizuela
1763,Sammartino
1764,Caridad
1765,Muchewicz
1766,Martiren
